Year,Admission Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014/15,2014,All codes,All admissions,All admissions,Number of admissions,,11011882
2014/15,2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1713330
2014/15,2014,C00-D48,All cancers,All cancers,Number of admissions,,1691035
2014/15,2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,611002
2014/15,2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,907157
2014/15,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1460719
2014/15,2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,88408
2014/15,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,21715
2014/15,2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29703
2014/15,2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4625
2014/15,2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6559
2014/15,2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,68257
2014/15,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,15426
2014/15,2014,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,19125
2014/15,2014,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,26790
2014/15,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8245
2014/15,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,43135
2014/15,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5880
2014/15,2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,121947
2014/15,2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,208759
2014/15,2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,292146
2014/15,2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,265514
2014/15,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,37759
2014/15,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105932
2014/15,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12166
2014/15,2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,13257
2014/15,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,23659
2014/15,2014,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,40273
2014/15,2014,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,6739
2014/15,2014,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,167889
2014/15,2014,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,67991
2014/15,2014,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,11431
2014/15,2014,All codes,All admissions,All admissions,Number of admissions,Male,5141482
2014/15,2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,931001
2014/15,2014,C00-D48,All cancers,All cancers,Number of admissions,Male,828031
2014/15,2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,300450
2014/15,2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,522587
2014/15,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,719952
2014/15,2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47421
2014/15,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15583
2014/15,2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21400
2014/15,2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3886
2014/15,2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,0
2014/15,2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,52109
2014/15,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,10123
2014/15,2014,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13745
2014/15,2014,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,14470
2014/15,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3546
2014/15,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,25679
2014/15,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3131
2014/15,2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,58597
2014/15,2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,105107
2014/15,2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,161239
2014/15,2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,179220
2014/15,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,22104
2014/15,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53512
2014/15,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9461
2014/15,2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8571
2014/15,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12000
2014/15,2014,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,17995
2014/15,2014,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2560
2014/15,2014,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,70169
2014/15,2014,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,19373
2014/15,2014,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,0
2014/15,2014,All codes,All admissions,All admissions,Number of admissions,Female,5870400
2014/15,2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,782329
2014/15,2014,C00-D48,All cancers,All cancers,Number of admissions,Female,863004
2014/15,2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,310552
2014/15,2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,384570
2014/15,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,740767
2014/15,2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,40987
2014/15,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,6132
2014/15,2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8303
2014/15,2014,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,739
2014/15,2014,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6559
2014/15,2014,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,16148
2014/15,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5303
2014/15,2014,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5380
2014/15,2014,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,12320
2014/15,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4699
2014/15,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,17456
2014/15,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2749
2014/15,2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,63350
2014/15,2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,103652
2014/15,2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,130907
2014/15,2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,86294
2014/15,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,15655
2014/15,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52420
2014/15,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2705
2014/15,2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,4686
2014/15,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11659
2014/15,2014,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,22278
2014/15,2014,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,4179
2014/15,2014,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,97720
2014/15,2014,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48618
2014/15,2014,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11431
2013/14,2013,All codes,All admissions,All admissions,Number of admissions,,10602739
2013/14,2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1634266
2013/14,2013,C00-D48,All cancers,All cancers,Number of admissions,,1631637
2013/14,2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,538994
2013/14,2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,892712
2013/14,2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1390104
2013/14,2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,87633
2013/14,2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,21304
